at	austria	Austria
be	belgium	Belgium
cy	cyprus	Cyprus
dk	denmark	Denmark
ee	estonia	Estonia
fi	finland	Finland
fr	france	France
de	germany	Germany
gr	greece	Greece
is	iceland	Iceland
ie	ireland	Ireland
il	israel	Israel
it	italy	Italy
lu	luxembourg	Luxembourg;Luxemburg
mt	malta	Malta
nl	thenetherlands	The Netherlands;Netherlands
no	norway	Norway
pt	portugal	Portugal
es	spain	Spain
se	sweden	Sweden
ch	switzerland	Switzerland
tr	turkey	Turkey
gb	unitedkingdom	United Kingdom;UK
yu	yugoslavia	Yugoslavia